・0157

◆ バクフーンが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
せいちょう	くさ	変化	-	-	20	×	自分の『こうげき』『とくこう』ランクが1段階ずつ上がる。天気が『にほんばれ』の時は、2段階ずつ上がる。
やどりぎのタネ	くさ	変化	-	90	12	×	使用後、毎ターン、相手のHPを最大HPの1/8ずつ減らし、その分自分のHPを回復させる。自分は交代しても効果が引き継ぐ。『くさ』タイプのポケモンには無効。
にほんばれ	ほのお	変化	-	-	8	×	5ターンの間、天気を『にほんばれ』にする。『ほのお』タイプの技のダメージが1.5倍になり、『みず』タイプの技のダメージが半減する。『こおり』状態にならない。
ストーンエッジ	いわ	物理	100	80	8	×	急所に当たりやすい(急所ランク:+1)。
いわなだれ	いわ	物理	75	90	12	×	相手全体が対象。30%の確率で相手をひるませる。
がんせきふうじ	いわ	物理	60	95	16	×	100%の確率で相手の『すばやさ』ランクを1段階下げる。
うちおとす	いわ	物理	50	100	16	×	特性『ふゆう』や、『ひこう』タイプのポケモンに『じめん』タイプの技が当たるようになる。。また、空中状態の相手にも当たり、技『そらをとぶ』『とびはねる』『でんじふゆう』『テレキネシス』の効果が解除され、『でんじふゆう』『テレキネシス』は使用できなくなる。『フリーフォール』状態の相手にも命中する。
ロックブラスト	いわ	物理	25	90	12	×	1ターンに2~5回連続で攻撃する。
ワイドガード	いわ	変化	-	-	12	×	必ず先制でき(優先度:+3)、そのターンの間、自分と味方は相手や味方が使った複数のポケモンが対象の技を受けない。
ステルスロック	いわ	変化	-	-	20	×	使用後、相手はポケモンを交代する度に、出てきたポケモンは最大HPの1/8のダメージを受ける。『タイプ』相性の影響を受け、例えば4倍弱点の場合は最大HPの1/2のダメージとなる。
すなあらし	いわ	変化	-	-	8	×	5ターンの間、天気を『すなあらし』にする。『いわ』『じめん』『はがね』タイプではないポケモンは、毎ターン最大HPの1/16のダメージを受ける。また、『いわ』タイプのポケモンは『とくぼう』が1.5倍になる。
ぶちかまし	じめん	物理	120	100	8	○	攻撃後、自分の『ぼうぎょ』『とくぼう』ランクが1段階ずつ下がる。特性『てつのこぶし』の時、威力が1.2倍になる。
じしん	じめん	物理	100	100	12	×	自分以外全員が対象。相手が技『あなをほる』を使っている時でも命中し、ダメージが2倍になる。『グラスフィールド』の時、威力が半減する。
10まんばりき	じめん	物理	95	95	12	○	通常攻撃。
じだんだ	じめん	物理	75	100	12	○	前のターンで自分が使った技が外れたり失敗したり、『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。
じならし	じめん	物理	60	100	20	×	自分以外全員が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。『グラスフィールド』の時、威力が半減する。
すなじごく	じめん	物理	35	85	16	×	相手を『バインド』状態にして、4~5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。
だいちのちから	じめん	特殊	90	100	12	×	10%の確率で相手の『とくぼう』ランクを1段階下げる。
ねっさのだいち	じめん	特殊	70	100	12	×	30%の確率で相手を『やけど』状態にする。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。
マッドショット	じめん	特殊	55	95	16	×	100%の確率で相手の『すばやさ』ランクを1段階下げる。
どろかけ	じめん	特殊	20	100	12	×	100%の確率で相手の命中率を1段階下げる。
ばかぢから	かくとう	物理	120	100	8	○	攻撃後、自分の『こうげき』『ぼうぎょ』ランクが1段階ずつ下がる。
ボディプレス	かくとう	物理	80	100	12	○	『こうげき』ではなく、自分の『ぼうぎょ』と『ぼうぎょ』ランクを『こうげき』の数値にしてダメージ計算する。
しねんのずつき	エスパー	物理	80	90	16	○	20%の確率で相手をひるませる。
ねむる	エスパー	変化	-	-	8	×	HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になり、3ターン目で目を覚ます。
ドわすれ	エスパー	変化	-	-	20	×	自分の『とくぼう』ランクを2段階上げる。
リフレクター	エスパー	変化	-	-	20	×	5ターンの間、相手の物理攻撃のダメージを半分にする。味方が複数の場合は半分ではなく2/3になる。急所に当たった場合は軽減されない。交代しても効果は続く。
ひかりのかべ	エスパー	変化	-	-	20	×	5ターンの間、相手の特殊攻撃のダメージを半分にする。味方が複数の場合は半分ではなく2/3になる。急所に当たった場合は軽減されない。交代しても効果は続く。
のろい	ゴースト	変化	-	-	12	×	自分のタイプが『ゴースト』タイプの時は自分のHPを最大HPの半分だけ減らして、相手を『のろい』状態にする。『のろい』状態になると毎ターン、HPが最大HPの1/4ずつ減る。それ以外のポケモンの場合『すばやさ』ランクが1段階下がり、『こうげき』『ぼうぎょ』ランクが1段階ずつ上がる。
げきりん	ドラゴン	物理	120	100	12	○	自分は『あばれ』状態となり、2~3ターン連続で攻撃し、他の行動はできない。その後1~4ターンの間『こんらん』状態になる。
かみくだく	あく	物理	80	100	16	○	20%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
かみつく	あく	物理	60	100	20	○	30%の確率で相手をひるませる。
アイアンヘッド	はがね	物理	80	100	16	○	20%の確率で相手をひるませる。
ハードプレス	はがね	物理	-	100	12	○	相手の残りHPが多いほど威力が高くなる。(100×相手の残りHP÷相手の最大HP)が威力になる。
ヘビーボンバー	はがね	物理	-	100	12	○	自分の『おもさ』が相手より重いほど威力が高くなる。相手の『おもさ』が自分の1/5以下なら120、1/4以下なら100、1/3以下なら80、1/2以下なら60、それより大きければ40。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる(第7世代以降)。ダイマックスしている相手には無効。
てっぺき	はがね	変化	-	-	16	×	自分の『ぼうぎょ』ランクを2段階上げる。

・0392

◆ ゴウカザルが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
ギガインパクト	ノーマル	物理	150	90	8	○	使用した次のターンは行動できない。
すてみタックル	ノーマル	物理	120	100	16	○	相手に与えたダメージの33%を自分も受ける。
のしかかり	ノーマル	物理	85	100	16	○	30%の確率で相手を『まひ』状態にする。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
からげんき	ノーマル	物理	70	100	20	○	自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
ねこだまし	ノーマル	物理	40	100	12	○	必ず先制でき(優先度:+3)、100%の確率で相手をひるませる。ただし、出た最初のターンしか成功しない。
フェイント	ノーマル	物理	30	100	12	×	必ず先制できる(優先度:+2)。相手が技『まもる』『みきり』『たたみがえし』『トーチカ』『キングシールド』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』『ファストガード』『ワイドガード』をしている場合は、その効果を解除して攻撃できる(使用していない場合は通常攻撃)。『ダイウォール』は解除はできないが、貫通する。
がむしゃら	ノーマル	物理	-	100	8	○	相手の残りHPから自分の残りHPを引いた分のダメージを与える。『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
はかいこうせん	ノーマル	特殊	150	90	8	×	使用した次のターンは行動できない。
さわぐ	ノーマル	特殊	90	100	12	×	3ターン連続で攻撃し、その間はすべてのポケモンが『ねむり』状態にならない。音系の技。相手の『みがわり』状態を貫通する。
りんしょう	ノーマル	特殊	60	100	16	×	同じターンに他のポケモンも『りんしょう』を使おうとすると、『すばやさ』に関係なく最初に使用したポケモンに続いて使用でき、最初以外の『りんしょう』は威力が2倍になる。音系の技。相手の『みがわり』状態を貫通する。(ダブルバトル用)
いびき	ノーマル	特殊	50	100	16	×	自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
なまける	ノーマル	変化	-	-	8	×	HPが最大HPの半分回復する。
てだすけ	ノーマル	変化	-	-	20	×	必ず先制できる(優先度:+5)。使用したターンの間、味方の技の威力を1.5倍にする。
じこあんじ	ノーマル	変化	-	-	12	×	相手の能力ランクの変化を、すべて自分にコピーする。
アンコール	ノーマル	変化	-	100	8	×	3ターンの間、相手は最後に使用した技しか使えなくなる。ただし、PPが0になると解除される。相手の技が『ものまね』『ゆびをふる』『オウムがえし』『へんしん』『わるあがき』『スケッチ』『ねごと』『アンコール』『しぜんのちから』『ねこのて』『さきどり』『まねっこ』『ダイマックスほう』『バーンアクセル』『ダークアクセル』『ポイズンアクセル』『ファイトアクセル』『マジカルアクセル』の場合は失敗する。ダイマックスしているポケモンには無効。なお、ダイマックス技や第7世代のZワザは影響を受けずに使うことができる。
ねごと	ノーマル	変化	-	-	12	×	自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
メロメロ	ノーマル	変化	-	100	16	×	相手が自分とは異なる性別の場合、相手を『メロメロ』状態にする。『メロメロ』状態になると、50%の確率で相手は自分に攻撃できなくなる。自分と相手の性別が同じ時や、どちらかが性別不明の場合は失敗する。
こらえる	ノーマル	変化	-	-	12	×	必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。
こわいかお	ノーマル	変化	-	100	12	×	相手の『すばやさ』ランクを2段階下げる。
まもる	ノーマル	変化	-	-	8	×	必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
みがわり	ノーマル	変化	-	-	12	×	自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。相手のダイマックス技も防げるが、自分がダイマックスすると分身が消える。
きあいだめ	ノーマル	変化	-	-	20	×	『きゅうしょアップ』状態(急所ランク2段階)となり、今後自分の技が急所に当たりやすくなる。(すでに『きゅうしょアップ』状態の時は失敗する)
ほえる	ノーマル	変化	-	-	20	×	必ず後攻になる(優先度:-6)。相手のポケモンを強制的に交代させる。野生のポケモンの場合は戦闘を終了する。自分の命中率、相手の回避率に関係なく必ず命中する。相手の『まもる』『みきり』『トーチカ』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』の効果を受けない。音系の技。相手の『みがわり』状態を貫通する。ダイマックスしている相手には無効。野生のポケモンの場合、相手が自分のレベルより高い場合は失敗する。
つるぎのまい	ノーマル	変化	-	-	20	×	自分の『こうげき』ランクを2段階上げる。
ソーラービーム	くさ	特殊	120	100	12	×	1ターン目は攻撃せずに、2ターン目で攻撃する。天気が『にほんばれ』の時は1ターンためずに攻撃でき、『あめ』『ゆき』『すなあらし』の時は威力が半分になる。
くさむすび	くさ	特殊	-	100	20	○	相手の『おもさ』が重いほど威力が高くなる。10kg未満は20、25kg未満は40、50kg未満は60、100kg未満は80、200kg未満は100、それ以上は120。ダイマックスしている相手には無効。
だいふんげき	ほのお	物理	120	100	12	×	自分は『あばれ』状態となり、2~3ターン連続で攻撃し、他の行動はできない。その後1~4ターンの間『こんらん』状態になる。
フレアドライブ	ほのお	物理	120	100	16	○	相手に与えたダメージの33%を自分も受ける。10%の確率で相手を『やけど』状態にする。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。
ブレイズキック	ほのお	物理	85	90	12	○	10%の確率で相手を『やけど』状態にする。急所に当たりやすい(急所ランク:+1)。
やけっぱち	ほのお	物理	75	100	12	○	前のターンで自分が使った技が外れたり失敗したり、『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。
ほのおのパンチ	ほのお	物理	75	100	16	○	10%の確率で相手を『やけど』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
ニトロチャージ	ほのお	物理	50	100	20	○	100%の確率で自分の『すばやさ』ランクが1段階上がる。
ブラストバーン	ほのお	特殊	150	90	8	×	使用した次のターンは行動できない。
オーバーヒート	ほのお	特殊	130	90	8	×	攻撃後、100%の確率で自分の『とくこう』ランクが2段階下がる。
だいもんじ	ほのお	特殊	110	85	8	×	10%の確率で相手を『やけど』状態にする。
ねっぷう	ほのお	特殊	95	90	12	×	相手全体が対象。10%の確率で相手を『やけど』状態にする。
かえんほうしゃ	ほのお	特殊	90	100	16	×	10%の確率で相手を『やけど』状態にする。
しっとのほのお	ほのお	特殊	70	100	8	×	相手全体が対象。100%の確率で、そのターンの間に能力ランクが上がった相手ポケモンを『やけど』状態にする(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクが上がった場合も対象となる)。
ほのおのうず	ほのお	特殊	35	85	16	×	相手を『バインド』状態にして、4~5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。
おにび	ほのお	変化	-	85	16	×	相手を『やけど』状態にする。『ほのお』タイプには無効。
にほんばれ	ほのお	変化	-	-	8	×	5ターンの間、天気を『にほんばれ』にする。『ほのお』タイプの技のダメージが1.5倍になり、『みず』タイプの技のダメージが半減する。『こおり』状態にならない。
かみなりパンチ	でんき	物理	75	100	16	○	10%の確率で相手を『まひ』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
とんぼがえり	むし	物理	70	100	20	○	攻撃後、手持ちのポケモンと入れ替わる。
つばめがえし	ひこう	物理	60	-	20	○	自分の命中率、相手の回避率に関係なく必ず命中する。
アクロバット	ひこう	物理	55	100	16	○	自分が道具を持っていない時、威力が2倍になる。
ストーンエッジ	いわ	物理	100	80	8	×	急所に当たりやすい(急所ランク:+1)。
いわなだれ	いわ	物理	75	90	12	×	相手全体が対象。30%の確率で相手をひるませる。
がんせきふうじ	いわ	物理	60	95	16	×	100%の確率で相手の『すばやさ』ランクを1段階下げる。
うちおとす	いわ	物理	50	100	16	×	特性『ふゆう』や、『ひこう』タイプのポケモンに『じめん』タイプの技が当たるようになる。。また、空中状態の相手にも当たり、技『そらをとぶ』『とびはねる』『でんじふゆう』『テレキネシス』の効果が解除され、『でんじふゆう』『テレキネシス』は使用できなくなる。『フリーフォール』状態の相手にも命中する。
ステルスロック	いわ	変化	-	-	20	×	使用後、相手はポケモンを交代する度に、出てきたポケモンは最大HPの1/8のダメージを受ける。『タイプ』相性の影響を受け、例えば4倍弱点の場合は最大HPの1/2のダメージとなる。
ダストシュート	どく	物理	120	80	8	×	30%の確率で相手を『どく』状態にする。
どくづき	どく	物理	80	100	20	○	30%の確率で相手を『どく』状態にする。
じしん	じめん	物理	100	100	12	×	自分以外全員が対象。相手が技『あなをほる』を使っている時でも命中し、ダメージが2倍になる。『グラスフィールド』の時、威力が半減する。
あなをほる	じめん	物理	80	100	12	○	1ターン目に地中に潜り、2ターン目に攻撃する。地中にいる間は『じしん』『マグニチュード』以外の技を受けない。
じならし	じめん	物理	60	100	20	×	自分以外全員が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。『グラスフィールド』の時、威力が半減する。
ねっさのだいち	じめん	特殊	70	100	12	×	30%の確率で相手を『やけど』状態にする。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。
どろかけ	じめん	特殊	20	100	12	×	100%の確率で相手の命中率を1段階下げる。
きあいパンチ	かくとう	物理	150	100	20	○	必ず後攻になり(優先度:-3)、攻撃するまでに技を受けると失敗してしまう。特性『てつのこぶし』の時、威力が1.2倍になる。
インファイト	かくとう	物理	120	100	8	○	攻撃後、自分の『ぼうぎょ』『とくぼう』ランクが1段階ずつ下がる。
ドレインパンチ	かくとう	物理	75	100	12	○	相手に与えたダメージの半分だけ自分のHPが回復する。特性『てつのこぶし』の時、威力が1.2倍になる。
かわらわり	かくとう	物理	75	100	16	○	相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を解除して攻撃する。
はやてがえし	かくとう	物理	65	100	16	○	必ず先制できる(優先度:+3)。相手を100%の確率でひるませる。ただし、そのターン相手が選んだ技が先制技ではない場合や、すでに攻撃を終えていた場合は失敗する。
ローキック	かくとう	物理	65	100	20	○	100%の確率で相手の『すばやさ』ランクを1段階下げる。
マッハパンチ	かくとう	物理	40	100	20	○	必ず先制できる(優先度:+1)。特性『てつのこぶし』の時、威力が1.2倍になる。
きしかいせい	かくとう	物理	-	100	16	○	自分の残りHPが少ないほど威力が高くなる。(威力は20~200)
カウンター	かくとう	物理	-	100	20	○	相手の物理攻撃のダメージの2倍をその相手に与える。『ダブルバトル』の時は最後に受けた技のみ有効になる。必ず後攻になる(優先度:-5)。『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
けたぐり	かくとう	物理	-	100	20	○	相手の『おもさ』が重いほど威力が高くなる。10kg未満は20、25kg未満は40、50kg未満は60、100kg未満は80、200kg未満は100、それ以上は120。ダイマックスしている相手には無効。
きあいだま	かくとう	特殊	120	70	8	×	10%の確率で相手の『とくぼう』ランクを1段階下げる。
はどうだん	かくとう	特殊	80	-	20	×	自分の命中率、相手の回避率に関係なく必ず命中する。
しんくうは	かくとう	特殊	40	100	20	×	必ず先制できる(優先度:+1)。
コーチング	かくとう	変化	-	-	12	×	自分を除く味方全体の『こうげき』『ぼうぎょ』ランクが1段階ずつ上がる(ダブルバトル用)。この技は『ダイウォール』の効果も受けない。
ビルドアップ	かくとう	変化	-	-	20	×	自分の『こうげき』『ぼうぎょ』ランクを1段階ずつ上げる。
しねんのずつき	エスパー	物理	80	90	16	○	20%の確率で相手をひるませる。
めいそう	エスパー	変化	-	-	20	×	自分の『とくこう』『とくぼう』ランクが1段階ずつ上がる。
ねむる	エスパー	変化	-	-	8	×	HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になり、3ターン目で目を覚ます。
こうそくいどう	エスパー	変化	-	-	20	×	自分の『すばやさ』ランクが2段階上がる。
シャドークロー	ゴースト	物理	70	100	16	○	急所に当たりやすい(急所ランク:+1)。
じごくづき	あく	物理	80	100	16	○	相手は2ターンの間、音系の技『いにしえのうた』『いびき』『いやしのすず』『いやなおと』『うたう』『うたかたのアリア』『エコーボイス』『おしゃべり』『おたけび』『きんぞくおん』『くさぶえ』『さわぐ』『スケイルノイズ』『すてゼリフ』『チャームボイス』『ちょうおんぱ』『とおぼえ』『ないしょばなし』『なきごえ』『バークアウト』『ハイパーボイス』『ばくおんぱ』『ほえる』『ほろびのうた』『むしのさざめき』『りんしょう』『ソウルビート』『オーバードライブ』『ぶきみなじゅもん』『フレアソング』『みわくのボイス』『サイコノイズ』を使えなくなる。
うっぷんばらし	あく	物理	75	100	8	○	そのターンの間に自分の能力ランクを下げられていると、威力が2倍になる(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクを下げられた場合も対象となる)。
はたきおとす	あく	物理	65	100	20	○	相手が道具を持っている場合、威力が1.5倍になり、さらに道具を持っていない状態にする。戦闘終了後、道具は元に戻る。
どろぼう	あく	物理	60	100	20	○	相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。トレーナー戦の場合はバトル終了後になくなる。
なげつける	あく	物理	-	100	12	×	自分の持っている道具によって効果が変化する。投げつけた道具はなくなる。
わるだくみ	あく	変化	-	-	20	×	自分の『とくこう』ランクを2段階上げる。
すりかえ	あく	変化	-	100	12	×	相手と自分が持っている道具を入れ替える。片方しか道具を持っていない場合も成功する。
うそなき	あく	変化	-	100	20	×	相手の『とくぼう』ランクを2段階下げる。
ちょうはつ	あく	変化	-	100	20	×	3ターンの間、相手は攻撃技しか出せなくなる。(変化技を使えなくする)
いちゃもん	あく	変化	-	100	16	×	使用後、相手は同じ技を連続で出せなくなる。ダイマックスしている相手には無効。
アイアンテール	はがね	物理	100	75	16	○	30%の確率で相手の『ぼうぎょ』ランクを1段階下げる。

・0395

◆ エンペルトが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
ギガインパクト	ノーマル	物理	150	90	8	○	使用した次のターンは行動できない。
すてみタックル	ノーマル	物理	120	100	16	○	相手に与えたダメージの33%を自分も受ける。
のしかかり	ノーマル	物理	85	100	16	○	30%の確率で相手を『まひ』状態にする。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
からげんき	ノーマル	物理	70	100	20	○	自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
はかいこうせん	ノーマル	特殊	150	90	8	×	使用した次のターンは行動できない。
さわぐ	ノーマル	特殊	90	100	12	×	3ターン連続で攻撃し、その間はすべてのポケモンが『ねむり』状態にならない。音系の技。相手の『みがわり』状態を貫通する。
りんしょう	ノーマル	特殊	60	100	16	×	同じターンに他のポケモンも『りんしょう』を使おうとすると、『すばやさ』に関係なく最初に使用したポケモンに続いて使用でき、最初以外の『りんしょう』は威力が2倍になる。音系の技。相手の『みがわり』状態を貫通する。(ダブルバトル用)
ウェザーボール	ノーマル	特殊	50	100	12	×	天気が『にほんばれ』の時は『ほのお』タイプ、『あめ』の時は『みず』タイプ、『ゆき』の時は『こおり』タイプ、『すなあらし』の時は『いわ』タイプになり、威力が2倍になる。ダイマックス技や第7世代のZワザもタイプが変わる。
いびき	ノーマル	特殊	50	100	16	×	自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
あくび	ノーマル	変化	-	-	12	×	相手を『ねむけ』状態にして、次のターン終了時に相手を『ねむり』状態にする。ただし、そのポケモンが交代されると効果は消える。自分の命中率、相手の回避率に関係なく必ず命中する。
てだすけ	ノーマル	変化	-	-	20	×	必ず先制できる(優先度:+5)。使用したターンの間、味方の技の威力を1.5倍にする。
じこあんじ	ノーマル	変化	-	-	12	×	相手の能力ランクの変化を、すべて自分にコピーする。
ねごと	ノーマル	変化	-	-	12	×	自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
メロメロ	ノーマル	変化	-	100	16	×	相手が自分とは異なる性別の場合、相手を『メロメロ』状態にする。『メロメロ』状態になると、50%の確率で相手は自分に攻撃できなくなる。自分と相手の性別が同じ時や、どちらかが性別不明の場合は失敗する。
いばる	ノーマル	変化	-	85	16	×	相手を1~4ターンの間『こんらん』状態にするが、相手の『こうげき』ランクを2段階上げてしまう。
こらえる	ノーマル	変化	-	-	12	×	必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。
こわいかお	ノーマル	変化	-	100	12	×	相手の『すばやさ』ランクを2段階下げる。
まもる	ノーマル	変化	-	-	8	×	必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
みがわり	ノーマル	変化	-	-	12	×	自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。相手のダイマックス技も防げるが、自分がダイマックスすると分身が消える。
ほえる	ノーマル	変化	-	-	20	×	必ず後攻になる(優先度:-6)。相手のポケモンを強制的に交代させる。野生のポケモンの場合は戦闘を終了する。自分の命中率、相手の回避率に関係なく必ず命中する。相手の『まもる』『みきり』『トーチカ』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』の効果を受けない。音系の技。相手の『みがわり』状態を貫通する。ダイマックスしている相手には無効。野生のポケモンの場合、相手が自分のレベルより高い場合は失敗する。
つるぎのまい	ノーマル	変化	-	-	20	×	自分の『こうげき』ランクを2段階上げる。
くさむすび	くさ	特殊	-	100	20	○	相手の『おもさ』が重いほど威力が高くなる。10kg未満は20、25kg未満は40、50kg未満は60、100kg未満は80、200kg未満は100、それ以上は120。ダイマックスしている相手には無効。
ウェーブタックル	みず	物理	120	100	12	○	相手に与えたダメージの33%を自分も受ける。
アクアブレイク	みず	物理	85	100	12	○	20%の確率で、相手の『ぼうぎょ』ランクを1段階下げる。
ダイビング	みず	物理	80	100	12	○	1ターン目に水中へ潜り、2ターン目に攻撃する。水中にいる間は『なみのり』『うずしお』以外の技を受けない。
たきのぼり	みず	物理	80	100	12	○	20%の確率で相手をひるませる。
クイックターン	みず	物理	60	100	20	○	攻撃後、手持ちのポケモンと入れ替わる。
アクアジェット	みず	物理	40	100	20	○	必ず先制できる(優先度:+1)。
ハイドロカノン	みず	特殊	150	90	8	×	使用した次のターンは行動できない。
ハイドロポンプ	みず	特殊	110	80	8	×	通常攻撃。
なみのり	みず	特殊	90	100	16	×	自分以外全員が対象。相手が『ダイビング』を使っている時でも命中し、ダメージが2倍になる。
みずのはどう	みず	特殊	60	100	20	×	20%の確率で相手を1~4ターンの間『こんらん』状態にする。
ひやみず	みず	特殊	50	100	20	×	100%の確率で相手の『こうげき』ランクを1段階下げる。
うずしお	みず	特殊	35	85	16	×	相手を『バインド』状態にして、4~5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。相手が『ダイビング』を使っている時でも命中し、ダメージが2倍になる。
アクアリング	みず	変化	-	-	20	×	使用後、毎ターン、HPが最大HPの1/16ずつ回復する。
あまごい	みず	変化	-	-	8	×	5ターンの間、天気を『あめ』にする。『みず』タイプの技のダメージが1.5倍になり、『ほのお』タイプの技のダメージが半減する。
ドリルくちばし	ひこう	物理	80	100	20	○	通常攻撃。
つばめがえし	ひこう	物理	60	-	20	○	自分の命中率、相手の回避率に関係なく必ず命中する。
ダブルウイング	ひこう	物理	40	90	12	○	1ターンに2回連続で攻撃する。
エアスラッシュ	ひこう	特殊	75	95	16	×	30%の確率で相手をひるませる。
エアカッター	ひこう	特殊	60	95	20	×	相手全体が対象。急所に当たりやすい(急所ランク:+1)。
はねやすめ	ひこう	変化	-	-	8	×	HPが最大HPの半分回復するが、そのターンは『ひこう』タイプではなくなる。
フェザーダンス	ひこう	変化	-	100	16	×	相手の『こうげき』ランクを2段階下げる。
いわなだれ	いわ	物理	75	90	12	×	相手全体が対象。30%の確率で相手をひるませる。
がんせきふうじ	いわ	物理	60	95	16	×	100%の確率で相手の『すばやさ』ランクを1段階下げる。
ステルスロック	いわ	変化	-	-	20	×	使用後、相手はポケモンを交代する度に、出てきたポケモンは最大HPの1/8のダメージを受ける。『タイプ』相性の影響を受け、例えば4倍弱点の場合は最大HPの1/2のダメージとなる。
じしん	じめん	物理	100	100	12	×	自分以外全員が対象。相手が技『あなをほる』を使っている時でも命中し、ダメージが2倍になる。『グラスフィールド』の時、威力が半減する。
あなをほる	じめん	物理	80	100	12	○	1ターン目に地中に潜り、2ターン目に攻撃する。地中にいる間は『じしん』『マグニチュード』以外の技を受けない。
じならし	じめん	物理	60	100	20	×	自分以外全員が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。『グラスフィールド』の時、威力が半減する。
どろかけ	じめん	特殊	20	100	12	×	100%の確率で相手の命中率を1段階下げる。
アイススピナー	こおり	物理	80	100	16	○	場の状態『グラスフィールド』『ミストフィールド』『エレキフィールド』『サイコフィールド』を解除し、元に戻す。
ゆきなだれ	こおり	物理	60	100	12	○	そのターンに相手の技のダメージを受けると威力が2倍になる。必ず後攻になる(優先度:-4)。
トリプルアクセル	こおり	物理	20	90	12	○	1ターンに外れるまで最大3回連続で攻撃する。攻撃が当たる度に威力が20ずつ増える。
ふぶき	こおり	特殊	110	70	8	×	相手全体が対象。10%の確率で相手を『こおり』状態にする。天気が『ゆき』の時は必ず命中する。
れいとうビーム	こおり	特殊	90	100	12	×	10%の確率で相手を『こおり』状態にする。
こごえるかぜ	こおり	特殊	55	95	16	×	相手全体が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。
